"","x"
"1",6.64827621273986e-15
"2",2.30746147597943e-14
"3",7.61812215017315e-14
"4",2.39249135367623e-13
"5",7.14731858432407e-13
"6",2.03108561288174e-12
"7",5.49045906429006e-12
"8",1.41185145350662e-11
"9",3.45363415039354e-11
"10",8.03677233417245e-11
"11",1.77919073488512e-10
"12",3.7473734762774e-10
"13",7.5100155067694e-10
"14",1.43231759880556e-09
"15",2.60044284725565e-09
"16",4.49648608155031e-09
"17",7.4108227624401e-09
"18",1.16576705363839e-08
"19",1.7542156538442e-08
"20",2.53441170990001e-08
"21",3.53623428443089e-08
"22",4.80769616928499e-08
"23",6.44830795321273e-08
"24",8.66115596227187e-08
"25",1.18174334814909e-07
"26",1.6515780207877e-07
"27",2.36067835656518e-07
"28",3.41459956186773e-07
"29",4.92442550830122e-07
"30",6.98084540274732e-07
"31",9.62102311394805e-07
"32",1.27975755504207e-06
"33",1.63637354279085e-06
"34",2.00901999177204e-06
"35",2.37252164230829e-06
"36",2.70996927342232e-06
"37",3.02651754278143e-06
"38",3.36375372404167e-06
"39",3.81065493268701e-06
"40",4.5064128413607e-06
"41",5.63049433907294e-06
"42",7.37664405672249e-06
"43",9.91062344797058e-06
"44",1.33165261916083e-05
"45",1.75427682247802e-05
"46",2.23641802842026e-05
"47",2.73778650052972e-05
"48",3.20449005606358e-05
"49",3.57773246760117e-05
"50",3.80536037739911e-05
"51",3.85324958075785e-05
"52",3.71315114394845e-05
"53",3.40451856579064e-05
"54",2.96974237310555e-05
"55",2.46436619322389e-05
"56",1.94535996370486e-05
"57",1.46081148010526e-05
"58",1.04347634957957e-05
"59",7.09025900845447e-06
"60",4.58279741951537e-06
"61",2.81764987725476e-06
"62",1.6478982074124e-06
"63",9.16769560714577e-07
"64",4.85150047479138e-07
"65",2.44218083889373e-07
"66",1.16940581029556e-07
"67",5.3264549175161e-08
"68",2.30779261059318e-08
"69",9.51131976960087e-09
"70",1.03393368251296e-14
"71",3.58853982730846e-14
"72",1.18476207198971e-13
"73",3.72077740740109e-13
"74",1.11154421613154e-12
"75",3.15872837526445e-12
"76",8.53872951197665e-12
"77",2.19570562583725e-11
"78",5.3710803224258e-11
"79",1.24987438572546e-10
"80",2.76697218751532e-10
"81",5.82778118770398e-10
"82",1.16789598644002e-09
"83",2.22729079094017e-09
"84",4.04329876151555e-09
"85",6.98989770539302e-09
"86",1.15159254024741e-08
"87",1.81029505428506e-08
"88",2.72083984489006e-08
"89",3.92289224345372e-08
"90",5.45479285822778e-08
"91",7.37518778260909e-08
"92",9.80934378139548e-08
"93",1.30225689189022e-07
"94",1.75119011885452e-07
"95",2.40910663855711e-07
"96",3.39268713884114e-07
"97",4.84755764022053e-07
"98",6.92755959940417e-07
"99",9.75868040571329e-07
"100",1.33927865824993e-06
"101",1.77639089719484e-06
"102",2.26662319390554e-06
