"","x"
"1",3.5491911001621e-05
"2",3.05054352938493e-05
"3",2.62750993713439e-05
"4",2.26698446113378e-05
"5",1.9588124532369e-05
"6",1.69481484648861e-05
"7",1.46825962474334e-05
"8",1.27354248946351e-05
"9",1.10597458238059e-05
"10",9.61633741875459e-06
"11",8.37262824490305e-06
"12",7.30214042134434e-06
"13",6.38451861034585e-06
"14",5.60645456967555e-06
"15",4.96412169043184e-06
"16",4.46825576502155e-06
"17",4.15388112086966e-06
"18",4.09796253038267e-06
"19",4.44967635438025e-06
"20",5.47790184682044e-06
"21",7.63365972928882e-06
"22",1.15999609014967e-05
"23",1.82467942382119e-05
"24",2.83589449124903e-05
"25",4.21103662907249e-05
"26",5.86416145945047e-05
"27",7.63105072473179e-05
"28",9.35513335879659e-05
"29",0.000109533702752477
"30",0.000124169704646604
"31",0.000137758608784937
"32",0.000150651745226197
"33",0.000163044049000899
"34",0.000174825322093477
"35",0.000185393401091507
"36",0.000193363068306041
"37",0.000196223603069811
"38",0.000190352063128733
"39",0.000172349545740445
"40",0.000142219684913283
"41",0.000105680088167138
"42",7.12551984634919e-05
"43",4.45778956797227e-05
"44",2.65345718471625e-05
"45",1.5330586672785e-05
"46",8.71105341831247e-06
"47",4.90630225586898e-06
"48",2.7513770864338e-06
"49",1.54012539910707e-06
"50",8.61814990099927e-07
"51",4.82539029394455e-07
"52",2.70530131658837e-07
"53",1.51968780762779e-07
"54",8.56123712253225e-08
"55",4.84501566442988e-08
"56",2.76572569110578e-08
"57",1.61032887361868e-08
"58",9.85674241991543e-09
"59",6.81129735237166e-09
"60",5.95088609136733e-09
"61",6.99399789768352e-09
"62",1.02903879797123e-08
"63",1.69308295483203e-08
"64",2.91030254769462e-08
"65",5.08089809049969e-08
"66",8.91785244025044e-08
"67",1.56809732062298e-07
"68",2.75904272001065e-07
"69",4.85554931145436e-07
"70",4.80655436792404e-05
"71",4.12702329240436e-05
"72",3.55181329580751e-05
"73",3.06230223993711e-05
"74",2.64431156442044e-05
"75",2.28653781151709e-05
"76",1.97973033501264e-05
"77",1.7162115041732e-05
"78",1.48956651315854e-05
"79",1.29442876113174e-05
"80",1.12633113127668e-05
"81",9.81616779686376e-06
"82",8.57420903555728e-06
"83",7.51756866633545e-06
"84",6.63774974002042e-06
"85",5.94321769837301e-06
"86",5.47027278610794e-06
"87",5.30299771049726e-06
"88",5.60791478360968e-06
"89",6.68958452710747e-06
"90",9.06732058782455e-06
"91",1.3547522417209e-05
"92",2.12044072364245e-05
"93",3.31075600813543e-05
"94",4.97059895748755e-05
"95",7.0201231127358e-05
"96",9.26461095405489e-05
"97",0.000114936108191164
"98",0.000135781599957702
"99",0.000154889049087356
"100",0.000172563141160142
"101",0.000189253415801044
"102",0.00020525606149008
"103",0.000220515546556362
"104",0.000234402264853567
"105",0.000245369740791322
"106",0.000250515464500823
"107",0.000245447147247746
"108",0.000225561383172537
"109",0.000189723203208811
"110",0.000143876480052824
"111",9.8747445821898e-05
"112",6.25919118920876e-05
"113",3.7578936850655e-05
"114",2.18270076830855e-05
"115",1.24425928957148e-05
"116",7.02239085041152e-06
"117",3.94364499369585e-06
"118",2.20999091111412e-06
"119",1.23791299084112e-06
"120",6.93839240836233e-07
"121",3.89439489640354e-07
"122",2.1905938507824e-07
"123",1.23614227511379e-07
"124",7.01157802106345e-08
"125",4.01705275742004e-08
"126",2.35540737015272e-08
"127",1.46411633455192e-08
"128",1.04449709564501e-08
"129",9.57739237897181e-09
"130",1.17636414405526e-08
"131",1.77377869444916e-08
"132",2.94773581225559e-08
"133",5.08500063412948e-08
"134",8.88823954056324e-08
"135",1.5606675961439e-07
