"","x"
"1",-2.6
"2",-2.5
"3",-2.4
"4",-2.3
"5",-2.2
"6",-2.1
"7",-2
"8",-1.9
"9",-1.8
"10",-1.7
"11",-1.6
"12",-1.5
"13",-1.4
"14",-1.3
"15",-1.2
"16",-1.1
"17",-1
"18",-0.9
"19",-0.8
"20",-0.7
"21",-0.6
"22",-0.5
"23",-0.4
"24",-0.3
"25",-0.2
"26",-0.1
"27",0
"28",0.1
"29",0.2
"30",0.3
"31",0.4
"32",0.5
"33",0.6
"34",0.7
"35",0.8
"36",0.9
"37",1
"38",1.1
"39",1.2
"40",1.3
"41",1.4
"42",1.5
"43",1.6
"44",1.7
"45",1.8
"46",1.9
"47",2
"48",2.1
"49",2.2
"50",2.3
"51",2.4
"52",2.5
"53",2.6
"54",2.7
"55",2.8
"56",2.9
"57",3
"58",3.1
"59",3.2
"60",3.3
"61",3.4
"62",3.5
"63",3.6
"64",3.7
"65",3.8
"66",3.9
"67",4
"68",4.1
"69",4.2
