"","x1","x2"
"1",-2.6,-2
"2",-2.5,-2
"3",-2.4,-2
"4",-2.3,-2
"5",-2.2,-2
"6",-2.1,-2
"7",-2,-2
"8",-1.9,-2
"9",-1.8,-2
"10",-1.7,-2
"11",-1.6,-2
"12",-1.5,-2
"13",-1.4,-2
"14",-1.3,-2
"15",-1.2,-2
"16",-1.1,-2
"17",-1,-2
"18",-0.9,-2
"19",-0.8,-2
"20",-0.7,-2
"21",-0.6,-2
"22",-0.5,-2
"23",-0.4,-2
"24",-0.3,-2
"25",-0.2,-2
"26",-0.1,-2
"27",0,-2
"28",0.1,-2
"29",0.2,-2
"30",0.3,-2
"31",0.4,-2
"32",0.5,-2
"33",0.6,-2
"34",0.7,-2
"35",0.8,-2
"36",0.9,-2
"37",1,-2
"38",1.1,-2
"39",1.2,-2
"40",1.3,-2
"41",1.4,-2
"42",1.5,-2
"43",1.6,-2
"44",1.7,-2
"45",1.8,-2
"46",1.9,-2
"47",2,-2
"48",2.1,-2
"49",2.2,-2
"50",2.3,-2
"51",2.4,-2
"52",2.5,-2
"53",2.6,-2
"54",2.7,-2
"55",2.8,-2
"56",2.9,-2
"57",3,-2
"58",3.1,-2
"59",3.2,-2
"60",3.3,-2
"61",3.4,-2
"62",3.5,-2
"63",3.6,-2
"64",3.7,-2
"65",3.8,-2
"66",3.9,-2
"67",4,-2
"68",4.1,-2
"69",4.2,-2
"70",-2.6,-1.95
"71",-2.5,-1.95
"72",-2.4,-1.95
"73",-2.3,-1.95
"74",-2.2,-1.95
"75",-2.1,-1.95
"76",-2,-1.95
"77",-1.9,-1.95
"78",-1.8,-1.95
"79",-1.7,-1.95
"80",-1.6,-1.95
"81",-1.5,-1.95
"82",-1.4,-1.95
"83",-1.3,-1.95
"84",-1.2,-1.95
"85",-1.1,-1.95
"86",-1,-1.95
"87",-0.9,-1.95
"88",-0.8,-1.95
"89",-0.7,-1.95
"90",-0.6,-1.95
"91",-0.5,-1.95
"92",-0.4,-1.95
"93",-0.3,-1.95
"94",-0.2,-1.95
"95",-0.1,-1.95
"96",0,-1.95
"97",0.1,-1.95
"98",0.2,-1.95
"99",0.3,-1.95
"100",0.4,-1.95
"101",0.5,-1.95
"102",0.6,-1.95
"103",0.7,-1.95
"104",0.8,-1.95
"105",0.9,-1.95
"106",1,-1.95
"107",1.1,-1.95
"108",1.2,-1.95
"109",1.3,-1.95
"110",1.4,-1.95
"111",1.5,-1.95
"112",1.6,-1.95
"113",1.7,-1.95
"114",1.8,-1.95
"115",1.9,-1.95
"116",2,-1.95
"117",2.1,-1.95
"118",2.2,-1.95
"119",2.3,-1.95
"120",2.4,-1.95
"121",2.5,-1.95
"122",2.6,-1.95
"123",2.7,-1.95
"124",2.8,-1.95
"125",2.9,-1.95
"126",3,-1.95
"127",3.1,-1.95
"128",3.2,-1.95
"129",3.3,-1.95
"130",3.4,-1.95
"131",3.5,-1.95
"132",3.6,-1.95
"133",3.7,-1.95
"134",3.8,-1.95
"135",3.9,-1.95
"136",4,-1.95
"137",4.1,-1.95
"138",4.2,-1.95
"139",-2.6,-1.9
"140",-2.5,-1.9
"141",-2.4,-1.9
"142",-2.3,-1.9
"143",-2.2,-1.9
"144",-2.1,-1.9
"145",-2,-1.9
"146",-1.9,-1.9
"147",-1.8,-1.9
"148",-1.7,-1.9
"149",-1.6,-1.9
"150",-1.5,-1.9
"151",-1.4,-1.9
"152",-1.3,-1.9
"153",-1.2,-1.9
"154",-1.1,-1.9
"155",-1,-1.9
"156",-0.9,-1.9
"157",-0.8,-1.9
"158",-0.7,-1.9
"159",-0.6,-1.9
"160",-0.5,-1.9
"161",-0.4,-1.9
"162",-0.3,-1.9
"163",-0.2,-1.9
"164",-0.1,-1.9
"165",0,-1.9
"166",0.1,-1.9
"167",0.2,-1.9
"168",0.3,-1.9
"169",0.4,-1.9
"170",0.5,-1.9
"171",0.6,-1.9
"172",0.7,-1.9
"173",0.8,-1.9
"174",0.9,-1.9
"175",1,-1.9
"176",1.1,-1.9
"177",1.2,-1.9
"178",1.3,-1.9
"179",1.4,-1.9
"180",1.5,-1.9
"181",1.6,-1.9
"182",1.7,-1.9
"183",1.8,-1.9
"184",1.9,-1.9
"185",2,-1.9
"186",2.1,-1.9
"187",2.2,-1.9
"188",2.3,-1.9
"189",2.4,-1.9
"190",2.5,-1.9
"191",2.6,-1.9
"192",2.7,-1.9
"193",2.8,-1.9
"194",2.9,-1.9
"195",3,-1.9
"196",3.1,-1.9
"197",3.2,-1.9
"198",3.3,-1.9
"199",3.4,-1.9
"200",3.5,-1.9
"201",3.6,-1.9
"202",3.7,-1.9
"203",3.8,-1.9
"204",3.9,-1.9
"205",4,-1.9
"206",4.1,-1.9
"207",4.2,-1.9
"208",-2.6,-1.85
"209",-2.5,-1.85
"210",-2.4,-1.85
"211",-2.3,-1.85
"212",-2.2,-1.85
"213",-2.1,-1.85
"214",-2,-1.85
"215",-1.9,-1.85
"216",-1.8,-1.85
"217",-1.7,-1.85
"218",-1.6,-1.85
"219",-1.5,-1.85
"220",-1.4,-1.85
"221",-1.3,-1.85
"222",-1.2,-1.85
"223",-1.1,-1.85
"224",-1,-1.85
"225",-0.9,-1.85
"226",-0.8,-1.85
"227",-0.7,-1.85
"228",-0.6,-1.85
"229",-0.5,-1.85
"230",-0.4,-1.85
"231",-0.3,-1.85
"232",-0.2,-1.85
"233",-0.1,-1.85
"234",0,-1.85
"235",0.1,-1.85
"236",0.2,-1.85
"237",0.3,-1.85
"238",0.4,-1.85
"239",0.5,-1.85
"240",0.6,-1.85
"241",0.7,-1.85
"242",0.8,-1.85
"243",0.9,-1.85
"244",1,-1.85
"245",1.1,-1.85
"246",1.2,-1.85
"247",1.3,-1.85
"248",1.4,-1.85
"249",1.5,-1.85
"250",1.6,-1.85
"251",1.7,-1.85
"252",1.8,-1.85
"253",1.9,-1.85
"254",2,-1.85
"255",2.1,-1.85
"256",2.2,-1.85
"257",2.3,-1.85
"258",2.4,-1.85
"259",2.5,-1.85
"260",2.6,-1.85
"261",2.7,-1.85
"262",2.8,-1.85
"263",2.9,-1.85
"264",3,-1.85
"265",3.1,-1.85
"266",3.2,-1.85
"267",3.3,-1.85
"268",3.4,-1.85
"269",3.5,-1.85
"270",3.6,-1.85
"271",3.7,-1.85
"272",3.8,-1.85
"273",3.9,-1.85
"274",4,-1.85
"275",4.1,-1.85
"276",4.2,-1.85
"277",-2.6,-1.8
"278",-2.5,-1.8
"279",-2.4,-1.8
"280",-2.3,-1.8
"281",-2.2,-1.8
"282",-2.1,-1.8
"283",-2,-1.8
"284",-1.9,-1.8
"285",-1.8,-1.8
"286",-1.7,-1.8
"287",-1.6,-1.8
"288",-1.5,-1.8
"289",-1.4,-1.8
"290",-1.3,-1.8
"291",-1.2,-1.8
"292",-1.1,-1.8
"293",-1,-1.8
"294",-0.9,-1.8
"295",-0.8,-1.8
"296",-0.7,-1.8
"297",-0.6,-1.8
"298",-0.5,-1.8
"299",-0.4,-1.8
"300",-0.3,-1.8
"301",-0.2,-1.8
"302",-0.1,-1.8
"303",0,-1.8
"304",0.1,-1.8
"305",0.2,-1.8
"306",0.3,-1.8
"307",0.4,-1.8
"308",0.5,-1.8
